,buy1,last,ma10min,ma5min,sell1
207,388.34,388.35,387.90500000000003,388.45,388.72
208,388.8,388.8,387.90500000000003,388.45,388.9
209,388.8,389.0,387.90500000000003,388.45,388.9
210,388.8,388.8,387.90500000000003,388.45,388.89
211,388.8,388.8,387.90500000000003,388.45,388.9
212,388.8,388.8,387.90500000000003,388.45,388.99
213,388.8,388.32,387.90500000000003,388.45,388.87
214,388.8,388.32,387.90500000000003,388.45,388.87
215,388.8,388.8,387.90500000000003,388.45,388.95
216,388.8,388.8,387.90500000000003,388.45,388.96
217,388.8,389.0,387.88499999999993,388.81,389
218,388.8,389.0,387.88499999999993,388.81,388.99
219,388.9,389.0,387.88499999999993,388.81,388.99
220,388.9,389.0,387.88499999999993,388.81,389
221,388.8,388.9,387.88499999999993,388.81,388.99
222,388.8,388.9,387.88499999999993,388.81,388.96
223,388.8,388.9,387.88499999999993,388.81,388.94
224,388.81,388.8,387.88499999999993,388.81,388.97
225,388.8,388.8,387.88499999999993,388.81,388.95
226,388.8,388.8,387.88499999999993,388.81,389
227,388.8,389.0,387.88499999999993,388.81,388.98
